"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","stream_order","FRAME23_ID","PERM_ID","NHDPLUSID","REACHCODE","GNIS_ID","GNIS_NAME","LENGTH_KM","FTYPE","FCODE","HUC4","STREAM_LEV","STRAH_ORD","STRAH_CAL","MEAN_FLOW","WBPERM_ID","MAINPATH","INNETWORK","VISFILT","BORD_RIV","PSTL_CODE","FRAME23","CNTYNAME","STATECTY","EPA_REG","HUC2","HUC2_NM","HUC8","HUC8_NM","MAJ_BASIN","MAJ_BAS_NM","MIS_BASIN","MIS_BAS_NM","WSAREA_KM","NHD100K","URBN_NRS08","URBN_NRS18","URBN_NRS23","FEOW_ID","US_L4CODE","US_L4NAME","US_L3CODE","US_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","AG_ECO9","AG_ECO9_NM","AG_ECO3","AG_ECO3_NM","OWN_NARS","FS_EW","STRAH_CAT","Shape_Leng","fcode","geometry"
"1","Site-001","Legacy","None",-72.7248759410715,40.9140007774599,"3",978200.561135468,1.02228524469382e-06,"None","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(691597.159403965, 4531702.45272212)
"2","Site-002","Base","None",-78.5273523585108,42.8533369364426,"1",1067943.30406186,9.3637929672536e-07,"None","1","250535","108909101",60001100026500,"04120103000402",NA,NA,4.04008576979,460,46003,"H0412",8,1,1,1.76357738,NA,0,1,1e+05,"Not_Border","NY","Include","Erie","F36029","Region_02","H04","Great Lakes Region","H04120103","Buffalo-Eighteenmile","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.34919998,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",4040.08576979,46003,c(211794.567722256, 4750566.0433877)
"3","Site-003","Base","None",-75.7683512283561,43.6838042192786,"1",1067943.30406186,9.3637929672536e-07,"None","1","161103","166906936",60000600082100,"04140102000789",NA,NA,2.15929305257,460,46006,"H0414",10,1,1,1.87914743,NA,0,1,24000,"Not_Border","NY","Include","Oswego","F36075","Region_02","H04","Great Lakes Region","H04140102","Salmon-Sandy","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.35519999,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",116,"58ae","Tug Hill Plateau","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2159.29305257,46006,c(438071.826188738, 4837041.45092541)
"4","Site-004","Base","None",-73.8965071169427,43.1891628023227,"1",1067943.30406186,9.3637929672536e-07,"None","1","148466","50506971",10000700073900,"02020003011350",NA,NA,0.649505695589,460,46006,"H0202",4,1,1,1.135372,NA,0,1,50000,"Not_Border","NY","Include","Saratoga","F36091","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.56569996,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",649.505695589,46006,c(589667.836919025, 4782412.36543489)
"5","Site-005","Base","None",-76.0536273375434,42.6184780316792,"1",1067943.30406186,9.3637929672536e-07,"None","1","207904","62623390",10000600000100,"02050102000802","00956703","Maybury Brook",3.25888810807,460,46006,"H0205",5,1,1,1.62784,NA,0,1,1e+05,"Not_Border","NY","Include","Cortland","F36023","Region_02","H02","Mid-Atlantic Region","H02050102","Chenango","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.85849998,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3258.88810807,46006,c(413590.729514378, 4718986.84669993)
"6","Site-006","Base","None",-77.6747948035441,42.8367029284675,"1",1067943.30406186,9.3637929672536e-07,"None","1","186592","42143441",60000700016300,"04130003000325","00955498","Little Conesus Creek",3.87475530038,460,46006,"H0413",12,1,1,2.05640338,NA,0,1,1e+05,"Not_Border","NY","Include","Livingston","F36051","Region_02","H04","Great Lakes Region","H04130003","Lower Genesee","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",5.15620008,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3874.75530038,46006,c(281399.303430161, 4746151.80819084)
"7","Site-007","Base","None",-75.2975114542875,43.5921094504138,"1",1067943.30406186,9.3637929672536e-07,"None","1","321950","131800129",60000600095500,"04140301017247","00947029","Cold Brook",0.507904920736,460,46006,"H0414",7,1,1,4.66954715,NA,0,1,250000,"Not_Border","NY","Include","Lewis","F36049","Region_02","H04","Great Lakes Region","H04140301","Black","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",5.00080004,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"58ab","Northern and Western Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",507.904920736,46006,c(475984.475718147, 4826613.95155175)
"8","Site-008","Base","None",-74.5061799183665,42.9665811146825,"1",1067943.30406186,9.3637929672536e-07,"None","1","137265","53533497",10000700030700,"02020004002174",NA,NA,2.07186460521,460,46006,"H0202",4,1,1,1.33314,NA,0,1,0,"Not_Border","NY","Include","Montgomery","F36057","Region_02","H02","Mid-Atlantic Region","H02020004","Mohawk","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.22470002,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"83f","Mohawk Valley","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2071.86460521,46006,c(540272.304058502, 4757221.98432834)
"9","Site-009","Base","None",-78.0033057423129,42.6210452700561,"1",1067943.30406186,9.3637929672536e-07,"None","1","168838","84184077",60000700012300,"04130002000507",NA,NA,0.941176057266,460,46006,"H0413",11,1,1,1.35839543,NA,0,1,1e+05,"Not_Border","NY","Include","Wyoming","F36121","Region_02","H04","Great Lakes Region","H04130002","Upper Genesee","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.05420001,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60d","Finger Lakes Uplands and Gorges","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",941.176057266,46006,c(253696.975211508, 4723107.20027749)
"10","Site-010","Base","None",-74.0295918009418,44.5566253064636,"1",1067943.30406186,9.3637929672536e-07,"None","1","338926","129688725",60000200074800,"04300106000021",NA,NA,1.30623062366,460,46003,"H0430",7,1,1,1.00450777,NA,0,1,24000,"Not_Border","NY","Include","Franklin","F36033","Region_02","H02","Mid-Atlantic Region","H04300106","Saranac River","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.9867,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ad","Central Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1306.23062366,46003,c(577070.626496296, 4934156.95300461)
"11","Site-011","Base","None",-76.2926687335998,43.1063617995888,"1",1067943.30406186,9.3637929672536e-07,"None","1","189780","87933448",60000600065800,"04140201001109",NA,NA,3.71279643693,460,46006,"H0414",6,1,1,3.19209688,NA,0,1,250000,"Not_Border","NY","Include","Onondaga","F36067","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",5.01099997,"NHD100","Urban","Urban","Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3712.79643693,46006,c(394818.017228606, 4773437.09059924)
"12","Site-012","Base","None",-73.9966010656377,42.4896114359033,"1",1067943.30406186,9.3637929672536e-07,"None","1","22434","52822699",10000700063300,"02020006000442",NA,NA,1.20821557132,460,46006,"H0202",4,1,1,1.475697,NA,0,1,1e+05,"Not_Border","NY","Include","Albany","F36001","Region_02","H02","Mid-Atlantic Region","H02020006","Middle Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.69739995,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1208.21557132,46006,c(582459.433055508, 4704627.28247656)
"13","Site-013","Base","None",-76.6467151142426,42.145297299579,"1",1067943.30406186,9.3637929672536e-07,"None","1","54153","48520890",10000600008500,"02050105000777",NA,NA,2.55769693182,460,46003,"H0205",4,1,1,1.026287,NA,0,1,1e+05,"Not_Border","NY","Include","Chemung","F36015","Region_02","H02","Mid-Atlantic Region","H02050105","Chemung","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.26360001,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2557.69693182,46003,c(363931.75393665, 4667220.8729993)
"14","Site-014","Base","None",-73.5549518629457,44.4001816914109,"1",1067943.30406186,9.3637929672536e-07,"None","1","241886","92068121",60000200037900,"04300108007689",NA,NA,3.82536203276,460,46006,"H0430",8,1,1,3.01327235,NA,0,1,250000,"Not_Border","NY","Include","Essex","F36031","Region_02","H02","Mid-Atlantic Region","H04300108","Lake Champlain","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.886,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ac","Eastern Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3825.36203276,46006,c(615074.176593688, 4917337.12083581)
"15","Site-015","Base","None",-74.8973195121802,43.6307526538863,"1",1067943.30406186,9.3637929672536e-07,"None","1","232078","131803837",60000600097400,"04140301017187","00959559","Otter Brook",2.91036853721,460,46006,"H0414",8,1,1,4.5546368,NA,0,1,250000,"Not_Border","NY","Include","Herkimer","F36043","Region_02","H04","Great Lakes Region","H04140301","Black","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.94939996,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2910.36853721,46006,c(508283.200096978, 4830867.80304705)
"16","Site-016","Base","None",-74.8778626311963,41.4636605694089,"1",1067943.30406186,9.3637929672536e-07,"None","1","273081","26164784",10000200073800,"02040104001047",NA,NA,0.115699118485,460,46003,"H0204",3,1,1,1.310905,NA,0,1,250000,"Not_Border","NY","Include","Sullivan","F36105","Region_02","H02","Mid-Atlantic Region","H02040104","Middle Delaware-Mongaup-Brodhead","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.18929999,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"62b","Low Poconos","62","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",115.699118485,46003,c(510199.620630138, 4590237.060423)
"17","Site-017","Base","None",-78.2497191006174,42.6694569902653,"1",1067943.30406186,9.3637929672536e-07,"None","1","243221","167784414",60000700011500,"04130002000806",NA,NA,0.732550561824,460,46003,"H0413",13,1,1,1.52797144,NA,0,1,250000,"Not_Border","NY","Include","Wyoming","F36121","Region_02","H04","Great Lakes Region","H04130002","Upper Genesee","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.8265,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",732.550561824,46003,c(233693.513338903, 4729231.15243806)
"18","Site-018","Base","None",-77.312384104905,43.024970979275,"1",1067943.30406186,9.3637929672536e-07,"None","1","180485","87935474",60000600079400,"04140201002975",NA,NA,0.526144596377,460,46006,"H0414",12,1,1,1.14345436,NA,0,1,1e+05,"Not_Border","NY","Include","Ontario","F36069","Region_02","H04","Great Lakes Region","H04140201","Seneca","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.26560002,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",526.144596377,46006,c(311594.117349674, 4766182.62819818)
"19","Site-019","Base","None",-75.5057759023191,43.5534044978263,"1",1067943.30406186,9.3637929672536e-07,"None","1","152189","167298458",60000600062100,"04140301017931","00969136","West Branch Sugar River",2.33623371852,460,46006,"H0414",7,1,1,1.67544041,NA,0,1,1e+05,"Not_Border","NY","Include","Lewis","F36049","Region_02","H04","Great Lakes Region","H04140301","Black","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.30539999,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"58af","Tug Hill Transition","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2336.23371852,46006,c(459146.91654367, 4822396.65167706)
"20","Site-020","Base","None",-74.7183498479844,43.3240116588131,"1",1067943.30406186,9.3637929672536e-07,"None","1","300827","53519971",10000700068300,"02020004003664",NA,NA,0.595449432906,460,46006,"H0202",5,1,1,1.388764,NA,0,1,0,"Not_Border","NY","Include","Hamilton","F36041","Region_02","H02","Mid-Atlantic Region","H02020004","Mohawk","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.32000001,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58aa","Acid Sensitive Adirondacks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",595.449432906,46006,c(522835.849905558, 4796835.27271952)
