"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FRAME23_ID","PERM_ID","NHDPLUSID","REACHCODE","GNIS_ID","GNIS_NAME","LENGTH_KM","FTYPE","FCODE","HUC4","STREAM_LEV","STRAH_ORD","STRAH_CAL","MEAN_FLOW","WBPERM_ID","MAINPATH","INNETWORK","VISFILT","BORD_RIV","PSTL_CODE","FRAME23","CNTYNAME","STATECTY","EPA_REG","HUC2","HUC2_NM","HUC8","HUC8_NM","MAJ_BASIN","MAJ_BAS_NM","MIS_BASIN","MIS_BAS_NM","WSAREA_KM","NHD100K","URBN_NRS08","URBN_NRS18","URBN_NRS23","FEOW_ID","US_L4CODE","US_L4NAME","US_L3CODE","US_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","AG_ECO9","AG_ECO9_NM","AG_ECO3","AG_ECO3_NM","OWN_NARS","FS_EW","STRAH_CAT","Shape_Leng","geometry","fcode","stream_order"
"1","Site-001","Base","None",-73.8793094088459,42.9851589987332,"1",1067943.30406186,9.3637929672536e-07,"None","123342","50514669",10000700025700,"02020003012964",NA,NA,3.69691096782,460,46006,"H0202",5,1,1,1.688342,NA,0,1,1e+05,"Not_Border","NY","Include","Saratoga","F36091","Region_02","H02","Mid-Atlantic Region","H02020003","Hudson-Hoosic","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",3.36290001,"NHD100","Urban","Urban","Urban",118,"59i","Hudson Valley","59","Northeastern Coastal Zone","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3696.91096782,c(591368.044482285, 4759776.01312433),46006,1
"2","Site-002","Base","None",-75.6905763495377,43.7247149950177,"1",1067943.30406186,9.3637929672536e-07,"None","339543","131805617",60000600075100,"04140301017557",NA,NA,0.962397712254,460,46006,"H0414",9,1,1,2.85844313,NA,0,1,1e+05,"Not_Border","NY","Include","Lewis","F36049","Region_02","H04","Great Lakes Region","H04140301","Black","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",1.93970002,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"58ae","Tug Hill Plateau","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",962.397712254,c(444378.242216256, 4841529.97502077),46006,1
"3","Site-003","Base","None",-73.5246938100208,41.6163948886231,"1",1067943.30406186,9.3637929672536e-07,"None","94796","122969124",10000800009300,"01100005016831",NA,NA,1.65480496646,460,46006,"H0110",4,1,1,2.89070528,NA,0,1,250000,"Not_Border","NY","Include","Dutchess","F36027","Region_02","H01","New England Region","H01100005","Housatonic","H01","New England Region","NMRB","Not Mississippi River Basin",3.55660001,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58e","Berkshire Transition","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1654.80496646,c(622914.04083469, 4608237.51116598),46006,1
"4","Site-004","Base","None",-76.1807060585751,43.4504922964766,"1",1067943.30406186,9.3637929672536e-07,"None","198042","129634507",60000600063900,"04140102000952",NA,NA,3.30082129906,460,46006,"H0414",7,1,1,3.5758585,NA,0,1,1e+05,"Not_Border","NY","Include","Oswego","F36075","Region_02","H04","Great Lakes Region","H04140102","Salmon-Sandy","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",4.807,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83c","Ontario Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",3300.82129906,c(404468.277826861, 4811520.17055866),46006,1
"5","Site-005","Base","None",-73.5258414662222,43.8474169916534,"1",1067943.30406186,9.3637929672536e-07,"None","183310","92074675",60000200116000,"04300108006224",NA,NA,2.16334859962,460,46003,"H0430",7,1,1,1.21643627,NA,0,1,1e+05,"Not_Border","NY","Include","Essex","F36031","Region_02","H02","Mid-Atlantic Region","H04300108","Lake Champlain","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.04480003,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58ac","Eastern Adirondack Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",2163.34859962,c(618492.367254327, 4855982.10082874),46003,1
"6","Site-006","Base","None",-73.7971038795954,44.2331487369435,"1",1067943.30406186,9.3637929672536e-07,"None","225312","115354045",60000200053600,"04300104000070","00953424","Hull Basin Brook",0.852356326486,460,46006,"H0430",6,1,1,3.02004364,NA,0,1,1e+05,"Not_Border","NY","Include","Essex","F36031","Region_02","H02","Mid-Atlantic Region","H04300104","Ausable River","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.84909997,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"58z","Adirondack High Peaks","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",852.356326486,c(596062.867784816, 4898472.17711318),46006,1
"7","Site-007","Base","None",-73.5363425786395,42.2311979546091,"1",1067943.30406186,9.3637929672536e-07,"None","95504","52831857",10000700037300,"02020006004860",NA,NA,1.43207879449,460,46006,"H0202",3,1,1,1.044424,NA,0,1,24000,"Not_Border","NY","Include","Columbia","F36021","Region_02","H02","Mid-Atlantic Region","H02020006","Middle Hudson","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.57189998,"Not_NHD100","Non-Urban","Non-Urban","Non-Urban",118,"58x","Taconic Foothills","58","Northeastern Highlands","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1432.07879449,c(620778.147406464, 4676483.37721234),46006,1
"8","Site-008","Base","None",-78.3698796494544,43.3427371712611,"1",1067943.30406186,9.3637929672536e-07,"None","166285","124589741",60000700013000,"04130001001504",NA,NA,4.15395451264,460,46006,"H0413",9,1,1,1.14399226,NA,0,1,1e+05,"Not_Border","NY","Include","Orleans","F36073","Region_02","H04","Great Lakes Region","H04130001","Oak Orchard-Twelvemile","H04","Great Lakes Region","NMRB","Not Mississippi River Basin",3.14830001,"NHD100","Non-Urban","Non-Urban","Non-Urban",116,"83a","Erie/Ontario Lake Plain","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",4153.95451264,c(226848.957063399, 4804392.98499362),46006,1
"9","Site-009","Base","None",-75.9258641486774,42.805130437665,"1",1067943.30406186,9.3637929672536e-07,"None","298882","62619564",10000600085900,"02050102000930",NA,NA,1.42665553138,460,46006,"H0205",5,1,1,1.176537,NA,0,1,1e+05,"Not_Border","NY","Include","Onondaga","F36067","Region_02","H02","Mid-Atlantic Region","H02050102","Chenango","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",2.09570002,"NHD100","Non-Urban","Non-Urban","Non-Urban",158,"60a","Glaciated Low Allegheny Plateau","60","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1426.65553138,c(424296.034046945, 4739590.8815688),46006,1
"10","Site-010","Base","None",-73.5689910179914,44.7736998365187,"1",1067943.30406186,9.3637929672536e-07,"None","241321","92062657",60000200072600,"04300108006413",NA,NA,1.1831708936,460,46003,"H0430",7,1,1,1.0096204,NA,0,1,1e+05,"Not_Border","NY","Include","Clinton","F36019","Region_02","H02","Mid-Atlantic Region","H04300108","Lake Champlain","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",1.83430001,"NHD100","Non-Urban","Non-Urban","Non-Urban",117,"83b","Champlain Lowlands","83","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","NAP","Northern Appalachians","EHIGH","Eastern Highlands","Non Federal","Not_USFS","SS",1183.1708936,c(613228.59279507, 4958807.80917745),46003,1
