siteID,siteuse,replsite,longitude,latitude,stratum,wgt,ip,caty,FRAME23_ID,PERM_ID,NHDPLUSID,REACHCODE,GNIS_ID,GNIS_NAME,LENGTH_KM,FTYPE,FCODE,HUC4,STREAM_LEV,STRAH_ORD,STRAH_CAL,MEAN_FLOW,WBPERM_ID,MAINPATH,INNETWORK,VISFILT,BORD_RIV,PSTL_CODE,FRAME23,CNTYNAME,STATECTY,EPA_REG,HUC2,HUC2_NM,HUC8,HUC8_NM,MAJ_BASIN,MAJ_BAS_NM,MIS_BASIN,MIS_BAS_NM,WSAREA_KM,NHD100K,URBN_NRS08,URBN_NRS18,URBN_NRS23,FEOW_ID,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,AG_ECO9,AG_ECO9_NM,AG_ECO3,AG_ECO3_NM,OWN_NARS,FS_EW,STRAH_CAT,Shape_Leng,geometry,geometry2,fcode,stream_order
Site-001,Base,None,-74.18061101,42.71547352,1,1877569.785,5.33E-07,None,158265,52816207,1.00007E+13,2.02001E+12,NA,NA,0.752537622,460,46006,H0202,5,1,1,0.285781,NA,0,1,250000,Not_Border,NY,Exclude_NoFlow,Schoharie,F36095,Region_02,H02,Mid-Atlantic Region,H02020006,Middle Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.63269999,NHD100,Non-Urban,Non-Urban,Non-Urban,118,83f,Mohawk Valley,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,752.5376219,c(567094.569428831, 4729544.86422014),46006,1
Site-002,Base,None,-75.93873115,42.39852241,1,1877569.785,5.33E-07,None,81189,62629522,1.00006E+13,2.0501E+12,NA,NA,1.79072499,460,46006,H0205,6,1,1,0.477804,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Broome,F36007,Region_02,H02,Mid-Atlantic Region,H02050102,Chenango,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.06260003,NHD100,Non-Urban,Non-Urban,Non-Urban,158,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1790.72499,c(422743.170659025, 4694452.01843602),46006,1
Site-003,Base,None,-75.09770143,43.09322016,1,1877569.785,5.33E-07,None,153244,53528059,1.00007E+13,2.02E+12,NA,NA,0.969622337,460,46003,H0202,5,1,1,0.222287,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Herkimer,F36043,Region_02,H02,Mid-Atlantic Region,H02020004,Mohawk,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.39890004,NHD100,Non-Urban,Non-Urban,Non-Urban,118,83f,Mohawk Valley,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,969.6223375,c(492048.566324192, 4771171.45263591),46003,1
Site-004,Base,None,-78.72624939,43.09316649,1,1877569.785,5.33E-07,None,216950,118007787,6.00008E+13,4.2701E+12,NA,NA,0.233293986,460,46006,H0427,9,1,1,0.18676649,NA,0,1,24000,Not_Border,NY,Exclude_NoFlow,Niagara,F36063,Region_02,H04,Great Lakes Region,H04270101,Niagara River,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.35460002,Not_NHD100,Urban,Urban,Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,233.2939861,c(196724.345975158, 4777903.26462634),46006,1
Site-005,Base,None,-73.78782243,42.29659769,1,1877569.785,5.33E-07,None,41768,52829635,1.00007E+13,2.02001E+12,NA,NA,0.110031272,460,46006,H0202,3,1,1,0.114773,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Greene,F36039,Region_02,H02,Mid-Atlantic Region,H02020006,Middle Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.25490001,NHD100,Non-Urban,Non-Urban,Non-Urban,118,59i,Hudson Valley,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,110.0312716,c(599922.845274235, 4683419.36990448),46006,1
Site-006,Base,None,-73.56080486,44.68953986,1,1877569.785,5.33E-07,None,235974,129688620,6.00002E+13,4.30011E+12,NA,NA,0.970233012,460,46003,H0430,6,1,1,0.52431016,NA,0,1,24000,Not_Border,NY,Exclude_NoFlow,Clinton,F36019,Region_02,H02,Mid-Atlantic Region,H04300106,Saranac River,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.00350002,Not_NHD100,Non-Urban,Urban,Urban,117,83b,Champlain Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,970.2330123,c(614041.627329846, 4949470.54034143),46003,1
Site-007,Base,None,-75.14599181,44.83680531,1,1877569.785,5.33E-07,None,235405,131099681,6.00003E+13,4.29001E+12,NA,NA,0.567022863,460,46003,H0429,6,1,1,0.163201,NA,0,1,24000,Not_Border,NY,Exclude_NoFlow,St. Lawrence,F36089,Region_02,H04,Great Lakes Region,H04290008,Raisin River-St. Lawrence River,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.38789997,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,117,83d,St. Lawrence Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,567.0228632,c(488460.995757383, 4964832.16440879),46003,1
Site-008,Base,None,-77.75728235,42.54553137,1,1877569.785,5.33E-07,None,231491,84186893,6.00007E+13,4.13E+12,NA,NA,1.36015281,460,46003,H0413,14,1,1,0.5230178,NA,0,1,50000,Not_Border,NY,Exclude_NoFlow,Livingston,F36051,Region_02,H04,Great Lakes Region,H04130002,Upper Genesee,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,1.11200001,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1360.15281,c(273601.595019754, 4714033.8398008),46003,1
Site-009,Base,None,-74.23047881,41.28855348,1,1877569.785,5.33E-07,None,15089,37093461,1.00007E+13,2.02001E+12,NA,NA,1.199395961,460,46006,H0202,6,1,1,0.563433,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Orange,F36071,Region_02,H02,Mid-Atlantic Region,H02020008,Hudson-Wappinger,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.81619999,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58i,Glaciated Reading Prong/Hudson Highlands,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1199.395961,c(564435.095431009, 4571075.56979562),46006,1
Site-010,Base,None,-73.7444396,43.79199894,1,1877569.785,5.33E-07,None,311571,89352117,1.00007E+13,2.02E+12,NA,NA,1.078233777,460,46003,H0202,4,1,1,0.805419,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Essex,F36031,Region_02,H02,Mid-Atlantic Region,H02020001,Upper Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.41430001,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58ac,Eastern Adirondack Foothills,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1078.233777,c(601014.798935812, 4849537.06025035),46003,1
