siteID,siteuse,replsite,longitude,latitude,stratum,wgt,ip,caty,FRAME23_ID,PERM_ID,NHDPLUSID,REACHCODE,GNIS_ID,GNIS_NAME,LENGTH_KM,FTYPE,FCODE,HUC4,STREAM_LEV,STRAH_ORD,STRAH_CAL,MEAN_FLOW,WBPERM_ID,MAINPATH,INNETWORK,VISFILT,BORD_RIV,PSTL_CODE,FRAME23,CNTYNAME,STATECTY,EPA_REG,HUC2,HUC2_NM,HUC8,HUC8_NM,MAJ_BASIN,MAJ_BAS_NM,MIS_BASIN,MIS_BAS_NM,WSAREA_KM,NHD100K,URBN_NRS08,URBN_NRS18,URBN_NRS23,FEOW_ID,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,AG_ECO9,AG_ECO9_NM,AG_ECO3,AG_ECO3_NM,OWN_NARS,FS_EW,STRAH_CAT,Shape_Leng,geometry,geometry2,fcode,stream_order,region
Site-01,Base,None,-78.65439638,42.44377944,None,2645053.055,3.78E-07,None,106226,87207964,6.00011E+13,4.1201E+12,973313,Franks Creek,0.764814017,460,46003,H0412,8,1,1,0.31269409,NA,0,1,50000,Not_Border,NY,Exclude_NoFlow,Cattaraugus,F36009,Region_02,H04,Great Lakes Region,H04120102,Cattaraugus,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.43499998,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,764.8140172,c(199445.085397254, 4705523.59138753),46003,1,
Site-02,Base,None,-73.51965083,43.26228837,None,2645053.055,3.78E-07,None,132070,50504483,1.00007E+13,2.02E+12,NA,NA,2.829304947,460,46006,H0202,4,2,2,2.49712081,NA,0,1,1.00E+05,Not_Border,NY,Include,Washington,F36115,Region_02,H02,Mid-Atlantic Region,H02020003,Hudson-Hoosic,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,5.31609997,NHD100,Non-Urban,Non-Urban,Non-Urban,118,59i,Hudson Valley,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2829.304947,c(620147.15002113, 4791005.99444909),46006,2,
Site-03,Base,None,-75.22367922,43.00579742,None,2645053.055,3.78E-07,None,140193,53531711,1.00007E+13,2.02E+12,NA,NA,2.829934202,460,46006,H0202,5,1,1,2.5750597,NA,0,1,0,Not_Border,NY,Include,Oneida,F36065,Region_02,H02,Mid-Atlantic Region,H02020004,Mohawk,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,3.62509999,NHD100,Urban,Non-Urban,Urban,118,83f,Mohawk Valley,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,2829.934202,c(481769.986556232, 4761482.86170135),46006,1,
Site-04,Base,None,-74.06726851,41.23096101,None,2645053.055,3.78E-07,None,287496,55503597,1.00001E+13,2.0301E+12,957407,Minisceongo Creek,1.960455498,460,46006,H0203,2,2,2,9.58781483,NA,0,1,0,Not_Border,NY,Include,Rockland,F36087,Region_02,H02,Mid-Atlantic Region,H02030101,Lower Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,9.42869996,NHD100,Non-Urban,Non-Urban,Non-Urban,118,58i,Glaciated Reading Prong/Hudson Highlands,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1960.455498,c(578170.140444353, 4564815.8262997),46006,2,
Site-05,Base,None,-79.71907406,42.22710952,None,2645053.055,3.78E-07,None,295937,123925368,6.00011E+13,4.1201E+12,NA,NA,0.40567342,460,46006,H0412,7,1,1,0.60981099,NA,0,1,50000,Not_Border,NY,Exclude_NoFlow,Chautauqua,F36013,Region_02,H04,Great Lakes Region,H04120101,Chautauqua-Conneaut,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.84660003,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,405.6734202,c(110527.253238615, 4685784.75923701),46006,1,
Site-06,Base,None,-75.0052914,44.16536692,None,2645053.055,3.78E-07,None,218126,133096874,6.00003E+13,4.29E+12,976573,Little River,1.313479518,558,55800,H0429,6,4,4,30.527129,133098686,0,1,1.00E+06,Not_Border,NY,Include,St. Lawrence,F36089,Region_02,H04,Great Lakes Region,H04290003,Oswegatchie,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,46.51520016,NHD100,Non-Urban,Non-Urban,Non-Urban,117,58ab,Northern and Western Adirondack Foothills,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,1313.479518,c(499576.947005877, 4890240.06099951),55800,4,
Site-07,Base,None,-73.88710485,44.75833265,None,2645053.055,3.78E-07,None,181778,132872972,6.00002E+13,4.3002E+12,NA,NA,0.641939386,460,46003,H0430,9,1,1,0.32129591,NA,0,1,24000,Not_Border,NY,Exclude_NoFlow,Clinton,F36019,Region_02,H04,Great Lakes Region,H04300201,Chateaugay-English,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.32600001,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,117,58ab,Northern and Western Adirondack Foothills,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,641.9393863,c(588081.152419512, 4956707.15290366),46003,1,
Site-08,Base,None,-74.16454431,42.32636884,None,2645053.055,3.78E-07,None,36089,{75bc3622-417a-4a6d-be4d-d9a555107eb9},1.00007E+13,2.02001E+12,NA,NA,0.218198061,460,46006,H0202,5,2,2,1.203868,NA,0,1,0,Not_Border,NY,Include,Greene,F36039,Region_02,H02,Mid-Atlantic Region,H02020005,Schoharie,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.62489999,NHD100,Non-Urban,Non-Urban,Non-Urban,118,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,218.198061,c(568836.004551103, 4686351.56154003),46006,2,
Site-09,Base,None,-76.8983755,42.5350475,None,2645053.055,3.78E-07,None,258520,87951432,6.00006E+13,4.1402E+12,970593,Seneca River,0.62850708,558,55800,H0414,5,5,5,244.6024037,87965156,0,1,5.00E+06,Not_Border,NY,Include,Yates,F36123,Region_02,H04,Great Lakes Region,H04140201,Seneca,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,649.8115002,NHD100,Non-Urban,Non-Urban,Non-Urban,116,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,RV,628.5070797,c(344102.464835542, 4710931.04164313),55800,4,
Site-10,Base,None,-75.36201456,44.16163276,None,2645053.055,3.78E-07,None,340091,133092708,6.00003E+13,4.29E+12,NA,NA,0.755895427,460,46006,H0429,8,1,1,1.058264,NA,0,1,1.00E+05,Not_Border,NY,Include,Lewis,F36049,Region_02,H04,Great Lakes Region,H04290003,Oswegatchie,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,1.81419997,NHD100,Non-Urban,Non-Urban,Non-Urban,117,58ab,Northern and Western Adirondack Foothills,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,755.8954274,c(471054.708890829, 4889888.99756078),46006,1,
