"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FRAME23_ID","PERM_ID","NHDPLUSID","REACHCODE","GNIS_ID","GNIS_NAME","LENGTH_KM","FTYPE","FCODE","HUC4","STREAM_LEV","STRAH_ORD","STRAH_CAL","MEAN_FLOW","WBPERM_ID","MAINPATH","INNETWORK","VISFILT","BORD_RIV","PSTL_CODE","FRAME23","CNTYNAME","STATECTY","EPA_REG","HUC2","HUC2_NM","HUC8","HUC8_NM","MAJ_BASIN","MAJ_BAS_NM","MIS_BASIN","MIS_BAS_NM","WSAREA_KM","NHD100K","URBN_NRS08","URBN_NRS18","URBN_NRS23","FEOW_ID","US_L4CODE","US_L4NAME","US_L3CODE","US_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","AG_ECO9","AG_ECO9_NM","AG_ECO3","AG_ECO3_NM","OWN_NARS","FS_EW","STRAH_CAT","Shape_Leng","geometry","fcode","stream_order"
"1","Site-001","Base","None",-72.5414157788207,40.8472506207266,"Atlantic Coastal Pine Barrens",78077.4021006134,1.28078031939557e-05,"2","1753","139720615",10000100056900,"02030202015104",NA,NA,1.08954240716,558,55800,"H0203",2,2,2,7.74787918,"139727182",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",11.65510006,"NHD100","Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",1089.54240716,c(1941837.90195781, 2222778.02925341),55800,2
"2","Site-002","Base","None",-72.025117467633,41.2700531509405,"Atlantic Coastal Pine Barrens",78077.4021006134,1.28078031939557e-05,"2","2407","133270133",10000100051300,"02030203001223",NA,NA,2.57861651636,558,55800,"H0203",2,2,2,4.23433658,"{efcee92b-2684-452b-879a-df5d7233ab16}",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H01","New England Region","H02030203","Long Island Sound","H01","New England Region","NMRB","Not Mississippi River Basin",5.9122,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"84a","Cape Cod/Long Island","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",2578.61651636,c(1971858.50863774, 2279283.25198498),55800,2
"3","Site-003","Base","None",-73.4955164739698,40.6215821429051,"Atlantic Coastal Pine Barrens",78077.4021006134,1.28078031939557e-05,"2","3294","139717456",10000100038900,"02030202013046",NA,NA,0.0505054633386,460,46006,"H0203",4,2,2,0.025251,NA,0,1,0,"Not_Border","NY","Exclude_NoFlow","Nassau","F36059","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.04429999,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",50.5054633386,c(1870303.45041857, 2179102.5421374),46006,2
"4","Site-004","Base","None",-73.0895339221807,40.7206321729974,"Atlantic Coastal Pine Barrens",78077.4021006134,1.28078031939557e-05,"2","833","139722511",10000100068100,"02030202014646","00951674","Green Creek",0.324894893072,558,55800,"H0203",3,2,2,3.93670161,"139727182",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",5.85269991,"NHD100","Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",324.894893072,c(1900744.98983102, 2197936.15968247),55800,2
"5","Site-005","Base","None",-72.4845885282105,41.0004350527698,"Atlantic Coastal Pine Barrens",241551.962748773,4.13989598188467e-06,"1","41382","139720618",10000100005500,"02030202015106","00969192","West Creek",1.72996506439,558,55800,"H0203",2,1,1,0.022426,"139743504",0,1,0,"Not_Border","NY","Exclude_Estuary","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.0383,"NHD100","Urban","Non-Urban","Non-Urban",118,"84a","Cape Cod/Long Island","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",1729.96506439,c(1942244.22635632, 2240571.79674533),55800,1
"6","Site-006","Base","None",-73.8551405933078,40.6490263000868,"Atlantic Coastal Pine Barrens",78077.4021006134,1.28078031939557e-05,"2","270317","139724110",10000100061100,"02030202011417","00959295","Old Mill Creek",1.71125425719,558,55800,"H0203",3,2,2,8.32536684,"139737648",0,1,0,"Not_Border","NY","Exclude_Estuary","Kings","F36047","Region_02","H02","Mid-Atlantic Region","H02030104","Sandy Hook-Staten Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",13.99229993,"NHD100","Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","NPS","Not_USFS","SS",1711.25425719,c(1840253.43034736, 2175071.2544366),55800,2
"7","Site-007","Base","None",-73.3575576704938,40.644466733082,"Atlantic Coastal Pine Barrens",241551.962748773,4.13989598188467e-06,"1","68981","139715880",10000100005000,"02030202006790",NA,NA,0.100686810872,460,46006,"H0203",4,1,1,0.000289,NA,0,1,0,"Not_Border","NY","Exclude_NoFlow","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",5e-04,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",100.686810872,c(1880946.89871492, 2184316.5875192),46006,1
"8","Site-008","Base","None",-72.8937907041813,40.885075251482,"Atlantic Coastal Pine Barrens",241551.962748773,4.13989598188467e-06,"1","62815","139712457",10000100039500,"02030202000022","00970467","Peconic River",2.40422636423,460,46006,"H0203",1,1,1,4.81070362,NA,0,1,0,"Not_Border","NY","Include","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",7.13329999,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"84a","Cape Cod/Long Island","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",2404.22636423,c(1912231.07154119, 2219742.08613912),46006,1
"9","Site-009","Base","None",-72.295774592787,41.0474380950258,"Atlantic Coastal Pine Barrens",241551.962748773,4.13989598188467e-06,"1","283971","788f71d4-a691-4078-8bc3-727089068e93",10000100085700,"02030202019768",NA,NA,0.329594741221,558,55800,"H0203",4,1,1,0.156855,"139725254",0,1,0,"Not_Border","NY","Exclude_Lake","Suffolk","F36103","Region_02","H02","Mid-Atlantic Region","H02030202","Southern Long Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",0.26629999,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"84a","Cape Cod/Long Island","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","SS",329.594741221,c(1956216.59933226, 2249545.99379988),55800,1
"10","Site-010","Base","None",-74.1064667812709,40.5454468042544,"Atlantic Coastal Pine Barrens",56931.4390316973,1.7564987237425e-05,"3","1885","{2C9952F8-0FC8-42C9-B78A-785BD2014CE2}",1.00001e+13,"02030104009711",NA,NA,6.78121725088,558,55800,"H0203",2,3,3,23.43928673,"159518058",0,1,0,"Not_Border","NY","Exclude_Estuary","Queens","F36081","Region_02","H02","Mid-Atlantic Region","H02030104","Sandy Hook-Staten Island","H02","Mid-Atlantic Region","NMRB","Not Mississippi River Basin",40.10420011,"NHD100","Non-Urban","Non-Urban","Non-Urban",118,"84c","Barrier Islands/Coastal Marshes","84","Atlantic Coastal Pine Barrens","8.5","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","8","EASTERN TEMPERATE FORESTS","CPL","Coastal Plains","PLNLOW","Plains and Lowlands","Non Federal","Not_USFS","LS",6781.21725088,c(1822390.2256576, 2158936.43003031),55800,3
